Competency,Question,Answer,Topics,Level Of Questions
Salesforce,Where do we use Audit Trail in Salesforce?  ,The Audit Trail function in Salesforce is useful for gaining information or for tracking all the recent setup changes that the administration team has done in the organization. The audit trail can preserve data for up to six months. ,Configuration Admin,Medium
Salesforce,How to prevent the report export ability for a user group?  ,User has system permission as Export reports to be disabled on Profile/Permission set.,Configuration Admin,Easy
Salesforce,When Roll-up Summary can be used? ,Roll-up summary field is applicable only in Master-Detail relationship and it will be present in parent object. ,Configuration Admin,Easy
Salesforce,Explain the difference between setup and Non setup object? ,"    Setup objects are objects that are used to interact with the metadata. Common example is the User, Profile, Layout object. Non-SetUp Object: Every other objects like those which are native(Standard Objects) and Custom Objects fall into the category of Non-Setup Objects. ",Configuration Admin,Hard
Salesforce,When do you use checkpoints and breakpoints? ,"   When debugging, a breakpoint instructs the running program to pause at a specific line number so the developer can inspect variable values at that point in time. Checkpoints, a special feature for debugging Apex code, are a type of breakpoint that provides more information by capturing heap dumps. ",Configuration Admin,Hard
Salesforce,Can we add custom settings in salesforce managed package?,"Yes custom setting could be a part of package , but we can not send configuration data in managed package. ",Configuration Admin,Medium
Salesforce,How we can send custom setting records in managed package? ,By including post install script class in managed package to insert record in salesforce org. ,Configuration Admin,Medium
Salesforce,How to Provide different permission to 4 users? ,"We will create one profile with a basic permission and will assign that to all , after that we will create a 4 permission set ,to give different permission to each. ",Configuration Admin,Easy
Salesforce,What is a use of Connected App in salesforce?   ," A connected app is a framework that enables an external application to integrate with Salesforce using APIs and standard protocols, such as SAML, OAuth, and OpenID Connect. Connected apps use these protocols to authenticate, authorize, and provide single sign-on (SSO) for external apps. ",Configuration Admin,Medium
Salesforce,When would you use “View All Data” and “Modify All Data” permission? ,"View All Data will grant read access to all objects and records, provide ability to see all data in the organization. Modify All Data will grant create, read, edit, and delete to all objects as well as full access to all records , provide ability to edit and delete all data in organization ",Configuration Admin,Medium
Salesforce,In case of Master detail relationship what would be access level in OWD? ,In case of Master Detail relationship child object access would be ‘Controlled By Parent’.same rules will be applied to child as well. ,Configuration Admin,Hard
Salesforce,What are the ways to migrate metadata? ,1. Force.com IDE   2. Change Set   3. Visual Studio Code,Configuration Admin,Hard
Salesforce,What is a required field of contact? , LastName ,Configuration Admin,Easy
Salesforce,What can cause data loss in Salesforce? ,"Data loss in Salesforce can be caused by a number of reasons, including:                        Changing data and date-time.             Migrating to percent, number, and currency from other data types.         Changing from the multi-select picklist, checkbox, auto number to other types.                                            Altering to multi-select picklist from any type except picklist.               Changing to auto-number except for text.                                                  Changing from text-area to e-mail, phone, URL, and text. ",Configuration Admin,Hard
Salesforce,What do you understand by OAuth? ," OAuth is an open standard (Protocol) for access delegation, commonly used as a way to grant websites or applications access to their information on other websites, but without giving them the passwords. ",Configuration Admin,Medium
Salesforce,Name of three data/metadata Configuration feature of salesforce? ,"Custom Setting, Custom Metadata type , Custom Label ",Configuration Admin,Easy
Salesforce,What are External ID fields used for? ,"Certain fields can be defined as an external ID on an object. These can be used in order to match up data from external systems with a unique reference ID. For example, if you need to match up data from an external accounting system to the Accounts in Salesforce, you can use an external ID field to reference the Accounting systems unique ID instead of the Salesforce ID. ",Configuration Admin,Medium
Salesforce,How many field we can track in field tracking? ,20 fields per object ,Configuration Admin,Easy
Salesforce,What is Change Data Capture? ,"Receive near-real-time changes of Salesforce records, and synchronize corresponding records in an external data store. Change Data Capture publishes change events, which represent changes to Salesforce records. Changes include creation of a new record, updates to an existing record, deletion of a record, and undeletion of a record. ",Configuration Admin,Hard
Salesforce,Names of OAuth Flow? ,"Username and Password flow , User Agent Flow , Web server flow ",Configuration Admin,Medium
Salesforce,How to create Self-Relationship? ,A Self-Relationship is a lookup relationship to the same object.  ,Configuration Admin,Easy
Salesforce,"I have two object one is class and one is student they both are mapped with M-d, my requirement is to make sure no one can able to insert more than 10 student in a class.  ","  Create a rollup summary field which count the child record, right a validation rule on child and check if new record is inserted and Count Field >= 10 throw the error. ",Configuration Admin,Medium
Salesforce,If user has view access on report folder but in profile he does not have access to dashboard then will user be able to access the dashboard?,"No, On the profile level user should have View Dashboards in Public Folders– “View and access dashboards in public folders, which does not include others’ personal folders” apart from view access at report level for him to view the dashboard.",Configuration Admin,Medium
Salesforce,"Case object has OWD set to private. Now regardless of hierarchies, like top to down (e.g. manager can view lead cases), down to top (e.g. lead can view manager cases), and horizontal (e.g. lead can view lead cases), and cross functionally, all cases should be visible to anyone without change in OWD. How is this possible?","Create a criteria based sharing rule where give access to “Roles and subordinates” to the head of department, this will let everyone access case regardless of hierarchy.",Configuration Admin,Hard
Salesforce,How to trigger Sharing rule of Formula field?,"Sharing rule does not let you use formula fields in the rule criteria, but workaround is to replace the formula field with a regular field and put the formula that populates it into a workflow that fires whenever an object is created or edited.That way you’ll have a regular field with the same value.                                                                           example- There is a city (formula field) on Student_c object and we need to use that in the criteria that when City = ‘Delhi’ then share with Sales Support role. Now because we cannot access formula field in the sharing rule so we will create another field on student object, lets say CityValue. Now we will create a workflow that whenever City (formulaField)= ‘Delhi’ then fieldUpdate CityValue (TextField) to ‘Delhi’. Then access the CityValue field in the Sharing rule.",Configuration Admin,Medium
Salesforce,Can we create Share object for custom object?,"We cannot create “__share” object by yourself. System create it for us. If sharing setting of an object is “Public Read/Write” system will not create “__share” object, as there is no scope of sharing, all record is open to everybody in org. However, if sharing setting of object is either “Public Read Only” or “Private“, system itself create a “__share” object for us.",Configuration Admin,Medium
Salesforce,What is apex managed Sharing?,Apex managed sharing provides developers with the ability to support an application’s particular sharing requirements programmatically through Apex or the SOAP API. Only users with “Modify All Data” permission can add or change Apex managed sharing on a record. Apex managed sharing is maintained across record owner changes.,Configuration Admin,Medium
Salesforce,If you have set OWD for external users as Public read only for object and you have gave object and field permission to user with guest profile. Can community guest user access the records in community for that object?,"No, since winter 21 release you need to create sharing rules so guest user can access the object.",Configuration Admin,Hard
Salesforce,What is a scratch org? What are its limitations?,"Scratch orgs are environments driven by source, flexible and entirely configurable. A scratch org expires in 7 days unless you set a duration when you create it.                                        Scratch orgs have these storage limits:                     200 MB for data                                                             50 MB for files",Configuration Admin,Easy
Salesforce,Can we create master detail relationship between two existing objects which have no relation to each other?,"No, we cannot create master detail relationship between two objects if they are not related.First we need to create lookup relationship between those two objects.We need to clear all records and then we can convert lookup relationship into master detail relationship.",Configuration Admin,Medium
Salesforce,"If one Salesforce object has 2 triggers running ""before insert"". Is there any way of monitoring these triggers' execution sequence?",Salesforce.com has documented that it is not possible to predefine the trigger sequence.,Configuration Admin,Medium
Salesforce,If there is Idea object and rating object to store the rating of ideas. What would be relationship between idea and rating object?,Master detail. Once you delete the idea record its associated rating records will also get deleted.,Configuration Admin,Easy
Salesforce,"In Salesforce, which fields are automatically indexed?","Primary keys (Id, Name and Owner fields).                   Foreign keys (lookup or master-detail relationship fields).                                                                Audit dates (such as SystemModStamp).                             Custom fields marked as an External ID or a unique field.",Configuration Admin,Easy
Salesforce,When do we use security token in salesforce? How to get security token in Salesforce.com? ,It is used in combination with a password to access Salesforce via API. The purpose of the token is to improve the security between Salesforce users and Salesforce.com in the case of a compromised account. To get security token in salesforce.com go to your name=>Personal=>Reset my Security token.,Configuration Admin,Medium
Salesforce,Which objects in Salesforce behave both as standard and junction objects?,PricebookEntry behaves as junction object between Product and Pricebook.                                    Quote object behaves as junction between Contact and Opportunity.                                                   Opportunity Product behaves as junction between Opportunity and Product.,Configuration Admin,Medium
Salesforce,Need to send email alert only when status is changed to particular value .How to achieve this requirement?,Using process builder we can send email alert. First we need to create email template. In process builder we need to specify the condition .In advance option we need to check the box so that action will execute only when specific condition is met. In action we need to add email alert and activate the process.,Configuration Admin,Easy
Salesforce,What is the need of custom petrmissions?,"Custom permissions let you define access checks that can be assigned to users via permission sets or profiles, similar to how you assign user permissions and other access settings. For example, you can define access checks in Apex that make a button on a Visualforce page available only if a user has the appropriate custom permission.",Configuration Admin,Medium
Salesforce,How does a Kanban view in Salesforce work? ,"In a graphical way, Kanban views display records that help you track your work and keep deals going forward. For most objects, Kanban views are available, with exceptions, such as tasks. To display a graphical view of records in a list view, arrange a kanban view.                               Example: You can drag and drop opportunities easily from one stage to another using a Kanban View.",Configuration Admin,Easy
Salesforce,Why users cannot be deleted in Salesforce?,"User might have created some records .If you delete the users it will create some orphan records. In order to maintain data integrity in Salesforce and historical records of who did what and when, and to support audit process you cannot delete users in Salesforce. But you can deactivate the users.",Configuration Admin,Easy
Salesforce,What will you do if you want your internal users to log in to your Salesforce organization only from your internal corporate network. ,"Login Ip ranges control login access for a user profile. Users with profile login IPs can only log in from IP addresses within the range; otherwise, they’re denied access to Salesforce. Login IP ranges are typically used to restrict login IPs at a granular level.",Configuration Admin,Easy
Salesforce,How will you allow users to login without receiving a login challenge for verification of their identity?,"Trusted IP Ranges define a list of IP addresses from which users can log in without receiving a login challenge for verification of their identity, such as a code sent to their mobile phone.",Configuration Admin,Easy
Salesforce,What is the use of Salesforce streaming API? Explain with example.,"You can use the Streaming API to receive updates for changes to Salesforce data that fit the SOQL query identified by you. The Streaming API is useful for moving alerts from the server to the client based on the parameters you specify.                                                  For example, you can use Streaming API to notify a fulfilment centre whenever an opportunity is updated.",Configuration Admin,Medium
Salesforce,What are the variations between record IDs with 15 and 18 digits?,The two versions are used in different situations. 15 characters ID is a case-sensitive version which is referenced in the Salesforce user interface. You can use this ID while performing data operations through the user interface. 18 characters ID is the case-insensitive version which is referenced through the APIs.,Configuration Admin,Medium
Salesforce,Difference between managed and unmanaged package?," In an unmanaged package, components are not upgradeable. In a managed package, some components can be upgraded.",Configuration Admin,Medium
Salesforce,How do you remove the standard functionality button (Example: New) while viewing list of records within an object from community?,Follow the steps in the org: Object Manager -> Standard/Custom Object -> Page Layout -> Quick Actions -> Remove the standard functionality button by dragging it back to the palette – Save,Configuration Admin,Easy
Salesforce,How to do monthly year over year visualization in Salesforce dashboards?,Let’s say we want to create a monthly year over visualization in the Opportunity object. Follow the steps below:                                                        Create a formula field (Example: Month) with return type text and that will return month based on closed                                                         date                                                              Create another formula field (Example: Year) with return type text that will return year based on closed date.                                                                   Take a matrix report type and group the data based on the above two fields.,Configuration Admin,Hard
